# GLODAP station 49NZ20051031-48-B
Depth_m,T_C,P_dbar,S
0,23.272,0,35.280998
10,23.272,10.1,35.287998
50,23.273,50.8,35.286999
100,21.068,100.4,35.176998
149,19.23,149.8,34.941002
200,16.049,201.7,34.504002
249,12.87,250.3,34.214001
298,11.416,300.2,34.166
396,9.0867,399.2,34.101002
497,6.6715,501.2,34.025002
596,5.4659,601,34.113998
696,4.9127,702.1,34.251999
794,4.479,800.2,34.352001
893,4.2195,901,34.444
992,3.9694,1000.5,34.486
1190,3.4578,1201.1,34.532001
1385,3.0616,1398.7,34.557999
1586,2.6964,1602.5,34.580002
1781,2.3882,1799.8,34.598999
1978,2.1359,1999.8,34.617001
2173,1.951,2198.9,34.631001
2371,1.7951,2399.8,34.645
2567,1.6808,2599.9,34.654999
2764,1.6011,2800.2,34.662998
2962,1.5437,3002,34.669998
3206,1.5002,3251.5,34.676998
3451,1.4795,3501.7,34.681
3695,1.4648,3752.1,34.683998
3940,1.4633,4002.7,34.687
4181,1.4738,4250.3,34.688
4425,1.4761,4500.3,34.691002
4670,1.4809,4752.3,34.692001
4910,1.4759,4999.7,34.695
5155,1.4911,5252,34.695999
5155,1.4911,5252.2,34.695
5180,1.4944,5278,34.695999
5181,1.4945,5278.3,34.695999
