# GLODAP station 316N19810401-221-B
Depth_m,T_C,P_dbar,S
0,16.36,0,35.174999
6,16.363,6,35.174999
11,16.427,11,35.216999
12,16.317,12,35.174
12,16.317,12,35.173
26,16.342,26,35.174999
39,16.349,39,35.188
46,16.085,46,35.542999
49,16.137,49,35.827
52,16.088,52,35.894001
55,15.89,55,35.888
66,15.567,67,35.979
77,15.801,78,36.134998
101,15.076,102,36.02
126,14.645,127,35.974998
200,13.904,202,35.859001
200,13.904,202,35.859001
202,13.923,204,35.859001
202,13.923,204,35.856998
259,13.428,261,35.779999
319,13.084,322,35.723999
401,12.319,405,35.588001
401,12.319,405,35.589001
497,10.597,502,35.318001
599,8.206,605,34.98
599,8.206,605,34.976002
694,6.452,701,34.882
797,5.562,805,34.917
797,5.562,805,34.916
889,4.941,898,34.925999
994,4.71,1005,34.951
994,4.71,1005,34.952
1087,4.352,1099,34.925999
1190,4.205,1204,34.925999
1190,4.205,1204,34.923
1284,3.959,1299,34.903999
1389,3.974,1405,34.921001
1389,3.974,1405,34.926998
1584,3.749,1604,34.904999
1584,3.749,1604,34.901001
1780,3.708,1803,34.912998
2082,3.589,2110,34.919998
2181,3.565,2211,34.941002
2181,3.565,2211,34.924999
2340,3.515,2373,34.931999
2340,3.515,2373,34.931999
2362,3.492,2396,34.931999
2362,3.492,2396,34.931
2374,3.481,2408,34.931
2374,3.481,2408,34.931
2385,3.487,2419,34.932999
2385,3.487,2419,34.931999
2397,3.462,2431,34.931999
2397,3.462,2431,34.929001
2478,3.438,2514,34.939999
2478,3.438,2514,34.931999
2779,3.255,2821,34.933998
2874,3.212,2918,34.941002
2874,3.212,2918,34.938999
3174,2.995,3225,34.937
3269,2.914,3323,34.938
3269,2.914,3323,34.936001
3574,2.675,3635,34.924
3625,2.634,3687,34.923
3663,2.589,3726,34.923
3663,2.589,3726,34.923
3669,2.594,3733,34.919998
3674,2.593,3738,34.917
3728,2.517,3793,34.916
3780,2.476,3846,34.914001
3902,2.389,3972,34.909
3957,2.374,4028,34.912998
3957,2.374,4028,34.922001
4082,2.31,4157,34.904999
4252,2.256,4331,34.904999
4252,2.256,4331,34.909
4284,2.228,4364,34.902
4397,2.235,4481,34.902
4397,2.235,4481,34.900002
4485,2.236,4571,34.900002
4496,2.247,4583,34.909
4496,2.247,4583,34.900002
4610,2.248,4700,34.902
